Per100k,Cases,Pop,IZ
 384, 18,4682,"Lennoxtown"
 299, 12,4011,"Milton of Campsie"
 222,  7,3146,"Harestanes"
 175,  5,2842,"Twechar and Harestanes East"
 147,  8,5422,"Rosebank and Waterside"
 147,  5,3397,"Kirkintilloch South"
 117,  6,5109,"Lenzie North"
 265, 11,4141,"Woodhill West"
 122,  3,2454,"Woodhill East"
 281, 16,5686,"Auchinairn"
 169, 11,6505,"Bishopbriggs West and Cadder"
 178,  5,2805,"Torrance and Balmore"
 172,  5,2904,"Kessington East"
 154,  5,3242,"Kessington West"
 119,  5,4168,"South Castlehill and Thorn"
 113,  5,4415,"North Castlehill and Thorn"
 158,  6,3786,"Kilmardinny West"
  94,  3,3187,"Kilmardinny East"
 213,  7,3283,"Barloch"
  98,  5,5089,"Bishopbriggs North and Kenmure"
  72,  3,4164,"Hillhead"
  72,  3,4137,"Kirkintilloch West"
  81,  3,3673,"Westerton East"
  73,  3,4079,"Keystone and Dougalston"
  87,  3,3422,"East Clober and Mains Estate"
 106,  3,2822,"Westerton West"
 109,  3,2748,"West Clober and Mains Estate"
